"wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Scottellia leonensis",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Camptostylus mannii",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Camptostylus mannii",,,,0,0,"Not found"
,,,,,,,,"Camptostylus mannii",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum verticillatum",,,,0,0,"Not found"
,,,,,,,,"Dasylepis racemosa",,,,0,0,"Not found"
,,,,,,,,"Camptostylus mannii",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum verticillatum",,,,0,0,"Not found"
,,,,,,,,"Dasylepis eggelingii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis racemosa",,,,0,0,"Not found"
,,,,,,,,"Camptostylus mannii",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum verticillatum",,,,0,0,"Not found"
,,,,,,,,"Dasylepis blackii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis blackii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis eggelingii",,,,0,0,"Not found"
,,,,,,,,"Camptostylus kivuensis",,,,0,0,"Not found"
,,,,,,,,"Xylotheca tettensis var. tettensis",,,,0,0,"Not found"
,,,,,,,,"Xylotheca tettensis var. tettensis",,,,0,0,"Not found"
,,,,,,,,"Caloncoba glauca",,,,0,0,"Not found"
,,,,,,,,"Xylotheca tettensis var. tettensis",,,,0,0,"Not found"
,,,,,,,,"Caloncoba gilgiana",,,,0,0,"Not found"
,,,,,,,,"Caloncoba gilgiana",,,,0,0,"Not found"
,,,,,,,,"Dasylepis eggelingii",,,,0,0,"Not found"
,,,,,,,,"Caloncoba welwitschii",,,,0,0,"Not found"
,,,,,,,,"Lindackeria dentata",,,,0,0,"Not found"
,,,,,,,,"Caloncoba welwitschii",,,,0,0,"Not found"
,,,,,,,,"Caloncoba subtomentosa",,,,0,0,"Not found"
,,,,,,,,"Buchnerodendron lasiocalyx",,,,0,0,"Not found"
,,,,,,,,"Caloncoba crepiniana",,,,0,0,"Not found"
,,,,,,,,"Xylotheca kraussiana",,,,0,0,"Not found"
,,,,,,,,"Caloncoba welwitschii",,,,0,0,"Not found"
,,,,,,,,"Lindackeria bukobensis",,,,0,0,"Not found"
,,,,,,,,"Xylotheca kraussiana",,,,0,0,"Not found"
,,,,,,,,"Dasylepis eggelingii",,,,0,0,"Not found"
,,,,,,,,"Caloncoba suffruticosa",,,,0,0,"Not found"
,,,,,,,,"Caloncoba subtomentosa",,,,0,0,"Not found"
,,,,,,,,"Lindackeria bukobensis",,,,0,0,"Not found"
,,,,,,,,"Xylotheca kraussiana",,,,0,0,"Not found"
,,,,,,,,"Xylotheca tettensis var. tettensis",,,,0,0,"Not found"
,,,,,,,,"Lindackeria dentata",,,,0,0,"Not found"
,,,,,,,,"Caloncoba subtomentosa",,,,0,0,"Not found"
,,,,,,,,"Caloncoba gilgiana",,,,0,0,"Not found"
,,,,,,,,"Xylotheca tettensis var. macrophylla",,,,0,0,"Not found"
,,,,,,,,"Xylotheca tettensis var. fissistyla",,,,0,0,"Not found"
,,,,,,,,"Caloncoba gilgiana",,,,0,0,"Not found"
,,,,,,,,"Lindackeria dentata",,,,0,0,"Not found"
,,,,,,,,"Lindackeria bukobensis",,,,0,0,"Not found"
,,,,,,,,"Xylotheca tettensis var. macrophylla",,,,0,0,"Not found"
,,,,,,,,"Caloncoba echinata",,,,0,0,"Not found"
,,,,,,,,"Caloncoba crepiniana",,,,0,0,"Not found"
,,,,,,,,"Lindackeria dentata",,,,0,0,"Not found"
,,,,,,,,"Xylotheca kraussiana",,,,0,0,"Not found"
,,,,,,,,"Xylotheca kraussiana",,,,0,0,"Not found"
,,,,,,,,"Xylotheca kraussiana",,,,0,0,"Not found"
,,,,,,,,"Caloncoba crepiniana",,,,0,0,"Not found"
,,,,,,,,"Lindackeria bukobensis",,,,0,0,"Not found"
,,,,,,,,"Lindackeria stipulata",,,,0,0,"Not found"
,,,,,,,,"Caloncoba suffruticosa",,,,0,0,"Not found"
,,,,,,,,"Lindackeria bukobensis",,,,0,0,"Not found"
,,,,,,,,"Caloncoba subtomentosa",,,,0,0,"Not found"
,,,,,,,,"Lindackeria dentata",,,,0,0,"Not found"
,,,,,,,,"Buchnerodendron lasiocalyx",,,,0,0,"Not found"
,,,,,,,,"Caloncoba flagelliflora",,,,0,0,"Not found"
,,,,,,,,"Caloncoba crepiniana",,,,0,0,"Not found"
,,,,,,,,"Lindackeria schweinfurthii",,,,0,0,"Not found"
,,,,,,,,"Buchnerodendron lasiocalyx",,,,0,0,"Not found"
,,,,,,,,"Caloncoba suffruticosa",,,,0,0,"Not found"
,,,,,,,,"Lindackeria bukobensis",,,,0,0,"Not found"
,,,,,,,,"Oncoba flagelliflora",,,,0,0,"Not found"
,,,,,,,,"Lindackeria dentata",,,,0,0,"Not found"
,,,,,,,,"Oncoba flagelliflora",,,,0,0,"Not found"
,,,,,,,,"Oncoba welwitschii",,,,0,0,"Not found"
,,,,,,,,"Oncoba welwitschii",,,,0,0,"Not found"
,,,,,,,,"Oncoba dentata",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana",,,,0,0,"Not found"
,,,,,,,,"Oncoba dentata",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Oncoba dentata",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Peterodendron ovatum",,,,0,0,"Not found"
,,,,,,,,"Ryparosa glauca",,,,0,0,"Not found"
,,,,,,,,"Ryparosa acuminata",,,,0,0,"Not found"
,,,,,,,,"Ryparosa fasciculata",,,,0,0,"Not found"
,,,,,,,,"Ryparosa scortechinii",,,,0,0,"Not found"
,,,,,,,,"Ryparosa scortechinii",,,,0,0,"Not found"
