"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"SOLOMON","JAMES C. SOLOMON;MICHAEL H. NEE",,"",,,,,
"SOLOMON","SOLOMON, JC; NEE, M",,"",,,,,
"SOLOMON","SOLOMON, JC;NEE, M.,SOLOMON, J.C.",,"",,,,,
"SORIANO","ALFREDO QUIROZ SORIANO",,"",,,,,
"SOTO","M. SOTO",,"",,,,,
"SOUZA","MA.C.SOUZA; E COL.",,"",,,,,
"SOZA","D. SOZA;P. P. MORENO",,"",,,,,
"SPARRE","SPARRE",,"",,,,,
"SPJUT","R. SPJUT",,"",,,,,
"SPJUT","R.W. SPJUT",,"",,,,,
"SPJUT","R.W. SPJUT; R. MARÍN",,"",,,,,
"STAHL","B STÅHL;B. ERIKSEN",,"",,,,,
"STAHL","STÅHL & ERIKSEN",,"",,,,,
"STEINMANN","V. W. STEINMANN",,"",,,,,
"STEINMANN","V. W. STEINMANN; E. CARRANZA",,"",,,,,
"STEINMANN","V.W. STEINMANN; E. CARRANZA",,"",,,,,
"STEVENS","STEVENS WD",,"",,,,,
"STEVENS","STEVENS, W.D.",,"",,,,,
"STEVENS","STEVENS, WD; KRUKOFF, BA",,"",,,,,
"STEVENS","STEVENS, WD;STEVENS, W.D.,KRUKOFF, B.A.",,"",,,,,
"STEVENS","W. D. STEVENS, O.M. MONTIEL J.",,"",,,,,
"STEVENS","W. D. STEVENS; M. FAIRHUST",,"",,,,,
"STEVENS","W. D. STEVENS;G. CALERO CH.",,"",,,,,
"STEVENS","W. D. STEVENS;MARY FAIRHURST",,"",,,,,
"STEVENS","W. D. STEVENS;NÉLIDA SORIA;ISABEL BASUALDO",,"",,,,,
"STEVENS","W. D. STEVENS;O. M. MONTIEL J.",,"",,,,,
"STEVENS","W. D. STEVENS;O. M. MONTIEL J.;CHRISTOPHER DAVIDSON;SHARON R. CHRISTOPH",,"",,,,,
"STEVENS","W. D. STEVENS;O. M. MONTIEL J.;E. DUARTE M.",,"",,,,,
"STEVENS","WARREN DOUGLAS (DOUG) STEVENS, OLGA MARTHA MONTIEL JARQUIN",,"",,,,,
"STEVENS","WARREN DOUGLAS STEVENS, B. A. KRUKOFF",,"",,,,,
"STEVENS","WARREN DOUGLAS STEVENS; MARY FAIRHURST",,"",,,,,
"STEVENS","WARREN DOUGLAS STEVENS;MARY FAIRHUST",,"",,,,,
"STEYERMARK","J. STEYERMARK",,"",,,,,
"STEYERMARK","J. STEYERMARK & B. MANARA",,"",,,,,
"STEYERMARK","JULIAN A. STEYERMARK;BRUNO J. MANARA",,"",,,,,
"STEYERMARK","JULIAN A. STEYERMARK;ET AL.",,"",,,,,
"STEYERMARK","JULIAN A. STEYERMARK;RONALD L. LIESNER;ÁNGEL C. GONZÁLEZ",,"",,,,,
"STEYERMARK","STEYERMARK, JA; DAVIDSE, G; STODDART, A",,"",,,,,
"STEYERMARK","STEYERMARK, JA;STEYERMARK, J.A.,STODDART, A.,DAVIDSE, G.",,"",,,,,
"STRANGHETTI","STRANGHETTI, V., RANGA, N.T. & REZENDE, A.A.",,"",,,,,
"STRANGHETTI","STRANGHETTI, V.;REZENDE, A.A.,RANGA, N.T.",,"",,,,,
"SUAREZ","M.E. SUÁREZ",,"",,,,,
"TAPIA","J. L. TAPIA M.;MIGUEL CHÁZARO BASAÑEZ",,"",,,,,
"TAPIA","J.L. TAPIA M.; M. CHÁZARO B.",,"",,,,,
"TAPIA","J.L. TAPIA; M. CHÁZARO",,"",,,,,
"TAYLOR","K. TAYLOR; M. NEE",,"",,,,,
"TAYLOR","K. TAYLOR;MICHAEL NEE",,"",,,,,
"TAYLOR","TAYLOR, MRS K.; NEE, M.",,"",,,,,
"TEAGUE","GERARD WARDEN TEAGUE",,"",,,,,
"THARP","B.C. THARP",,"",,,,,
"THARP","THARP; JOHNSON; WEBSTER I.",,"",,,,,
"THOMAS","THOMAS B. CROAT;PHILIP A. SILVERSTONE-SOPKIN",,"",,,,,
"TOLEDO","TOLEDO, CS; JOAQUIN, N; EZCURRA, C; SCHININI, A",,"",,,,,
"TOLEDO","TOLEDO, CS;SCHININI, A.,EZCURRA, C.,TOLEDO, C.S.,JOAQUIN, N.",,"",,,,,
"TORRES","E. I. MEZA TORRES; W. A. MEDINA, H. SATO, A. J. VEGA",,"",,,,,
"TORRES","E. TORRES B.; H. MORALES",,"",,,,,
"TORRES","L. TORRES COLÍN; ABISAÍ GARCÍA MENDOZA; L. CORTÉS A.; CIPRIANO MARTÍNEZ RAMÍREZ; JUVENAL P.",,"",,,,,
"TORRES","RAFAEL TORRES COLÍN; O. TÉLLEZ",,"",,,,,
"TORRES-COLIN","M.L. TORRES-COLÍN; A. GARCÍA-MENDOZA; C. MARTÍNEZ S.; L. CORTÉS A.; J. PÉREZ",,"",,,,,
"TORREZ","VANIA TORREZ;MANUEL J. MACÍA;D. CHOQUE A.;PILAR GARAGORRI;PEPE SEVILLANOS;J. MAMANI",,"",,,,,
"TREJO","IRMA TREJO",,"",,,,,
"TREJO","IRMA TREJO; P. TENORIO L.; G. AVILA; J. HERNÁNDEZ",,"",,,,,
"TRESSENS","S. TRESSENS; L. FERRARO, H. KELLER, V. MARUNAK, V. REVILLA FECHA",,"",,,,,
"TRESSENS","SARA G. TRESSENS;ET AL.",,"",,,,,
"TRESSENS","SARA G. TRESSENS;LIDIA I. FERRARO;H. A. KELLER;VICTOR MARUÑAK;V. REVILLA",,"",,,,,
"TRESSENS","TRESSENS, S; BOHREN, A; CABRAL, E; FERRUCCI, MR; POMPERT, M; KEHL, J; MARUÑAK, V; SCH",,"",,,,,
"TRESSENS","TRESSENS, S;MARUÑAK, V.,CABRAL, E.,POMPERT, M.,FERRUCCI, M.R.,BOHREN, A.,KEHL, J.,MAR,TRESSENS, S.,SCH",,"",,,,,
"TRONCOSO","NÉLIDA S. TRONCOSO;NÉLIDA M. BACIGALUPO",,"",,,,,
"TRUJILLO","BALTASAR TRUJILLO;E. SULBARAN",,"",,,,,
"TRUJILLO","TRUJILLO P.;MOLINA D.;LÓPEZ D.;PERDOMO L.",,"",,,,,
"TRUJILLO","TRUJILLO P.;MONTOYA D.;SALAZAR H.",,"",,,,,
"TUCKER","TUCKER, J.M.",,"",,,,,
"TUR","TUR, N. M.",,"",,,,,
"TURNER","R. M. TURNER; C. H. LOWE, JR. 2048",,"",,,,,
"ULIBARRI","ULIBARRI, E. A.",,"",,,,,
"UZQUIANO","J. UZQUIANO;ET AL.",,"",,,,,
"VALENCIA-D","VALENCIA-D., JANICE",,"",,,,,
"VALIENTE","ALFONSO VALIENTE BANUET; F. CHIANG",,"",,,,,
"VALIENTE","ALFONSO VALIENTE BANUET; R. SALMERON; D. NAVA; J. L. VIVEROS; J. C. MORALES",,"",,,,,
"VALIENTE","ALFONSO VALIENTE BANUET; ROSALÍA SALMERON; D. NAVA; J. L. VIVEROS; J. C. MORALES",,"",,,,,
"VALIENTE","VALIENTE B; ET AL.",,"",,,,,
"VARELA","L. VARELA; M. VILLEGAS",,"",,,,,
"VARGAS","ISRAEL G. VARGAS C.;ET AL.",,"",,,,,
"VARGAS","ISRAEL G. VARGAS C.;S. ORTIZ",,"",,,,,
"VARGAS","S. VARGAS P.",,"",,,,,
"VASQUEZ","R. VASQUEZ, F. SALVADOR ET AL",,"",,,,,
"VASQUEZ","R. VÁSQUEZ & R. ROJAS",,"",,,,,
"VASQUEZ","R. VÁSQUEZ, C. DÍAZ, F. SALVADOR & ET AL.",,"",,,,,
"VASQUEZ","RODOLFO VÁSQUEZ;ET AL.",,"",,,,,
"VASQUEZ","RODOLFO VÁSQUEZ;ROCÍO ROJAS",,"",,,,,
"VAUGHN","JAMES VAUGHN",,"",,,,,
"VEGA","R. VEGA A.; F. HERNÁNDEZ A.",,"",,,,,
"VEGA","R. VEGA A.; I.F. VEGA L.; A. HERNÁNDEZ V.",,"",,,,,
"VEGA","RITO VEGA A.; GERMÁN AURELIO BOJÓRQUEZ BOJÓRQUEZ",,"",,,,,
"VEGA","RITO VEGA A.; INÉS F. VEGA L.; HIPÓLITO AGUILAR HERNÁNDEZ; ALEJANDRO HERNÁNDEZ",,"",,,,,
"VEJARANO","SILVIA VEJARANO;GLORIA GALEANO",,"",,,,,
"VELASCO","K. VELASCO G.; A. SÁNCHEZ M.; A. NAVA Z.",,"",,,,,
"VELASCO-GUTIERREZ","K. VELASCO-GUTIÉRREZ; A. SÁNCHEZ M.; A. NAVA-ZAFRA",,"",,,,,
"VELIZ","M. VÉLIZ; E. MARTÍNEZ S.; C. H. RAMOS; G. CAMPOS",,"",,,,,
"VELIZ","M. VÉLIZ; R. BARRIOS",,"",,,,,
"VELIZ","MARIO VÉLIZ;ANA JOSÉ CÓBAR",,"",,,,,
"VELIZ","MARIO VÉLIZ;ESTEBAN M. MARTÍNEZ S.;CLARA H. RAMOS A.",,"",,,,,
"VELIZ","MARIO VÉLIZ;F. RAMÍREZ",,"",,,,,
"VELIZ","MARIO VÉLIZ;R. VÉLIZ",,"",,,,,
"VERA","M. VERA;M. PEÑA-CHOCARRO;J. DE EGEA JUVINEL;M. TORRE",,"",,,,,
"VERDI","VERDI, M.; KLEMZ, G.",,"",,,,,
"VERDI","VERDI, M;KLEMZ, G.,VERDI, M.,HASCKEL, R.P.",,"",,,,,
"VERDUZCO","C. VERDUZCO M.",,"",,,,,
"VERVAORT","F. VERVAORT",,"",,,,,
"VILLACORTA","RAUL VILLACORTA;ET AL.",,"",,,,,
"VILLACORTA","RAUL VILLACORTA;M.L. REYNA DE AGUILAR",,"",,,,,
"VILLACORTA","RAUL VILLACORTA;MIRIAM CORTEZ",,"",,,,,
"VILLACORTA","VILLACORTA,R. & REYNA DE AGUILAR,M.L.",,"",,,,,
"VILLACORTA","VILLACORTA,R., GONZÁLEZ,J.C. & ARANIVA,A.",,"",,,,,
"VILLALOBOS","A. VILLALOBOS C.",,"",,,,,
"VILLALOBOS","JEANETH VILLALOBOS;E. PORTAL;E. CERVANTES",,"",,,,,
"VILLANUEVA","B. VILLANUEVA",,"",,,,,
"VILLANUEVA","B. VILLANUEVA; A. LOZANO",,"",,,,,
"VILLANUEVA","B. VILLANUEVA; J. CABEZAS; A. MONTES; B. AGUIRRE",,"",,,,,
"VILLAREAL","J. A. VILLAREAL Q.",,"",,,,,
"VILLAREAL","J. A. VILLAREAL Q.; M. A. CARRANZA P.",,"",,,,,
"VILLAREAL","J. A. VILLAREAL Q.;MIGUEL AGUSTÍN CARRANZA",,"",,,,,
"VILLARREAL","J. A. VILLARREAL",,"",,,,,
"VILLARREAL","J.A. VILLARREAL Q.; M.A. CARRANZA P.; J.L. ELIZONDO",,"",,,,,
"VILLARROEL","D. VILLARROEL;Y. BUSTAMANTE;T. PALACIOS",,"",,,,,
"VILLEGAS","MARTHA VILLEGAS;M. CURARIPE",,"",,,,,
"VINTON","BOB VINTON",,"",,,,,
"VINTON","VINTON",,"",,,,,
"VIRGINIUS","VIRGINIUS H. CHASE",,"",,,,,
"WAGNER","W. L. WAGNER & P. JULIAN",,"",,,,,
"WALKER","JAY B. WALKER",,"",,,,,
"WALKER","MRS. E. J. WALKER",,"",,,,,
"WALKER","WALKER",,"",,,,,
"WEBSTER","G. L. WEBSTER & R. L. WILBUR",,"",,,,,
"WERFF","WERFF HH VAN DER",,"",,,,,
"WHITE","M. J. D. WHITE",,"",,,,,
"WHITEHOUSE","E. WHITEHOUSE",,"",,,,,
"WIGGINS","I. L. WIGGINS & R. C. ROLLINS",,"",,,,,
"WIGGINS","IRA L. WIGGINS;REED C. ROLLINS",,"",,,,,
"WILLIAM","WILLIAM E. HARMON;JOHN D. DWYER",,"",,,,,
"WILLIAM","WILLIAM R. CARR",,"",,,,,
"WILLIAM","WILLIAM R. MAXON;A. D. HARVEY;A.T. VALENTINE",,"",,,,,
"WILLIAMS","DAVID E. WILLIAMS;ET AL.",,"",,,,,
"WILLIAMS","WILLIAMS, D.E.",,"",,,,,
"WILLIGES","GEORGE G. WILLIGES; D. BLANKENSHIP",,"",,,,,
"WILSON","WILSON DEVIA",,"",,,,,
"WITSBERGER","DENNIS WITSBERGER",,"",,,,,
"WORONOW","GEORG J. WORONOW;S.V. JUZEPCZUK",,"",,,,,
"XOLOCOTZI","EFRAÍN HERNÁNDEZ XOLOCOTZI",,"",,,,,
"ZAFRA","A. NAVA ZAFRA",,"",,,,,
"ZAFRA","A. NAVA ZAFRA; A. SÁNCHEZ M.",,"",,,,,
"ZAMBRANO","MIGUEL CRUZ ZAMBRANO; MAURO HERNÁNDEZ",,"",,,,,
"ZAMBRANO","MIGUEL CRUZ ZAMBRANO;MAURO HERNÁNDEZ MEZA",,"",,,,,
"ZAMORA","P. ZAMORA C.; M.G. ZOLÁ B.",,"",,,,,
"ZAPATA","RUIZ ZAPATA T",,"",,,,,
"ZARDINI","E. ZARDINI & T. FLORENTIN",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;A. AGUAYO",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;BONIFACIA BENÍTEZ B.",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;G. GARCETE",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;J. FERNANDEZ",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;LEONGINO GUERRERO",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;M. VELÁZQUEZ",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;M.R.P. DA SILVA",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;MARÍA T. FLORENTÍN P.;T. FLORENTÍN",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;P. AQUINO",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;RAMÓN VELÁSQUEZ",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;TULIO TILLERÍA",,"",,,,,
"ZARDINI","ELSA M. ZARDINI;U. VELÁZQUEZ",,"",,,,,
"ZARDINI","ELSA MATILDE ZARDINI ET AL.",,"",,,,,
"ZARDINI","ELSA MATILDE ZARDINI; BONIFACIA BENITEZ BERTONI",,"",,,,,
"ZARDINI","ZARDINI, E.; VELÁSQUEZ, R.",,"",,,,,
"ZARDINI","ZARDINI, EM; FLORENTÍN, T",,"",,,,,
"ZARDINI","ZARDINI, EM; VELÁSQUEZ, C",,"",,,,,
"ZARDINI","ZARDINI, EM;ZARDINI, E.M.,AGUAYO, A.",,"",,,,,
"ZARDINI","ZARDINI, EM;ZARDINI, E.M.,FLORENTÍN, T.",,"",,,,,
"ZARDINI","ZARDINI, EM;ZARDINI, E.M.,VELÁSQUEZ, C.",,"",,,,,
"ZOLA","M.G. ZOLÁ B.; L. TORRES",,"",,,,,
"ZOLA","M.G. ZOLÁ B.; M.L. TORRES-COLÍN",,"",,,,,
"ZOLA","M.G. ZOLÁ B.; V.E. LUNA M.",,"",,,,,
,"""",,"",,,,,
"ACEVEDO-RODRIGUEZ","R. ACEVEDO R.","CLASSICO COMPOSTO","checked","X",,,,
"ACOSTA","M. ACOSTA SOLIS",,"checked",,,,,
"ACOSTA","R. ACOSTA P.",,"checked",,,,,
"AGUAYO","A. AGUAYO",,"checked",,,,,
"AGUILAR","DOMINGO AGUILAR",,"checked",,,,,
"ALCORN","J. B. ALCORN",,"checked",,,,,
"ALCORN","JANIS B. ALCORN",,"checked",,,,,
"ALEXANDER","E. J. ALEXANDER",,"checked",,,,,
"ALISCIONI","ALISCIONI, S. S.",,"checked",,,,,
"ALONSO","JOSÉ LUIS FERNÁNDEZ-ALONSO","COMPOSTO","checked","X",,,,
"ALSTON","A. H. ALSTON",,"checked",,,,,
"ALVES","ALVES, J; ET AL.",,"checked",,,,,
"AMADEO","AMADEO M. REA",,"checked",,,,,
"ANDERSSON","N. J. ANDERSSON",,"checked",,,,,
"ANTEZANA","C. ANTEZANA VALERA",,"checked",,,,,
"ARAQUISTAIN","M. ARAQUISTAIN",,"checked",,,,,
"ARAUJO","D. ARAUJO & N. MACIEL",,"checked",,,,,
"ARBELAEZ","E. PÉREZ ARBELÁEZ",,"checked",,,,,
"ARBELAEZ","E. PÉREZ ARBELÁEZ & J. CUATRECASAS",,"checked",,,,,
"ARBELAEZ","ENRIQUE PÉREZ ARBELÁEZ",,"checked",,,,,
"ARCHER","W. ARCHER",,"checked",,,,,
"ARENAS","ARENAS, P.",,"checked",,,,,
"ARROYAVE","F. ARROYAVE",,"checked",,,,,
"ASPLUND","ASPLUND, E.",,"checked",,,,,
"ASPLUND","E. ASPLUND",,"checked",,,,,
"ASPLUND","ERIK ASPLUND",,"checked",,,,,
"ASSIS","ASSIS, A.M.; CRIBARI, R.S.; SANTOS, J.",,"checked",,,,,
"ASSUNCAO","V.A. ASSUNÇÃO",,"checked",,,,,
"ASSUNCAO","VIVIAN ALMEIDA ASSUNÇÃO",,"checked",,,,,
"BACIGALUPO","BACIGALUPO, N. M.",,"checked",,,,,
"BACIGALUPO","BACIGALUPO, N. M.",,"checked",,,,,
"BALANSA","B. BALANSA",,"checked",,,,,
"BALANSA","BALANSA",,"checked",,,,,
"BALANSA","BALANSA B",,"checked",,,,,
"BALANSA","BALANSA B.",,"checked",,,,,
"BALANSA","BALANSA, B.",,"checked",,,,,
"BALANSA","BENEDICT (BENJAMIN) BALANSA",,"checked","X",,,,
"BALCAZAR","J. BALCÁZAR",,"checked",,,,,
"BARRETO","BARRETO, K.D. ET AL.",,"checked",,,,,
"BARRIGA","H. GARCÍA BARRIGA",,"checked",,,,,
"BARTLETT","H. H. BARTLETT",,"checked",,,,,
"BASUALDO","ISABEL BASUALDO",,"checked",,,,,
"BECK","STEPHAN G. BECK",,"checked","x",,,,
"BERNARDI","L. BERNARDI",,"checked",,,,,
"BERNARDI","LUCIANO BERNARDI",,"checked",,,,,
"BERTERO","C. G. BERTERO",,"checked",,,,,
"BERTERO","CARLO L.G. BERTERO",,"checked",,,,,
"BIANCHINI","BIANCHINI, E; PAPOLO, RS",,"checked",,,,,
"BIGANZOLI","BIGANZOLI, F.",,"checked",,,,,
"BONIFAZ","CARMEN BONIFAZ B.","NAO ULTIMO","checked",,,,,
"BORDON","BORDÓN, A. O.",,"checked",,,,,
"BRAGA","J.M.A.BRAGA",,"checked",,,,,
"BREEDLOVE","BREEDLOVE, D. E.",,"checked",,,,,
"BREEDLOVE","BREEDLOVE, DENNIS E.; ALMEDA, FRANK",,"checked",,,,,
"BRUIJN","BRUIJN J DE",,"checked",,,,,
"BRUIJN","J. BRUIJN",,"checked",,,,,
"BRUIJN","J. DE BRUIJN",,"checked",,,,,
"BURKART","ARTURO E. BURKART",,"checked",,,,,
"BURKART","BURKART, A",,"checked",,,,,
"BURKART","BURKART, A.",,"checked",,,,,
"BURKART","BURKART, A;BURKART, A.",,"checked",,,,,
"CABRERA","ANGEL L. CABRERA",,"checked",,,,,
"CABRERA","CABRERA, A. L.",,"checked",,,,,
"CALAWAY","CALAWAY H. DODSON",,"checked",,,,,
"CALDERON","GUADALUPE MARTÍNEZ CALDERÓN",,"checked","X",,,,
"CALDERON","S. CALDERÓN",,"checked",,,,,
"CALONICO","J. CALÓNICO-SOTO","NAO ULTIMO","checked","X",,,,
"CALZADA","J.I. CALZADA",,"checked",,,,,
"CARBALLO","CARBALLO,R.A.",,"checked",,,,,
"CARDONA","F. CARDONA",,"checked",,,,,
"CARVALHO","F.S. CARVALHO; Z.R. HOLSBACK; B.E.M. PINTO",,"checked",,,,,
"CASTANEDA","R. R. CASTAÑEDA",,"checked",,,,,
"CASTILLO","G. CASTILLO-CAMPOS","NAO ULTIMO","checked","X",,,,
"CASTILLO","G. CASTILLO-CAMPOS; J.J. PALE P.",,"checked","X",,,,
"CASTILLO","G. CASTILLO-CAMPOS; M.E. MEDINA A.","NAO ULTIMO","checked","X",,,,
"CASTILLO","G. CASTILLO-CAMPOS; P. ZAMORA C.",,"checked","X",,,,
"CASTILLO","G. CASTILLO-CAMPOS; P. ZAMORA C.; P. MORENO-CASASOLA","NAO ULTIMO","checked","X",,,,
"CASTILLO","G. CASTILLO-CAMPOS; P. ZAMORA C.; R. ACEVEDO R.",,"checked","X",,,,
"CASTILLO","G. CASTILLO-CAMPOS; R. ACEVEDO R.; J.L. MARTÍNEZ Y P.","NAO ULTIMO","checked","X",,,,
"CASTILLO","J. J. CASTILLO MONT",,"checked",,,,,
"CASTILLO","JORGE MEAVE DEL CASTILLO",,"checked",,,,,
"CASTREJON","J. CASTREJÓN R.; E. MARTÍNEZ S.; M. ELORSA C.",,"checked",,,,,
"CASTREJON","JAVIER F. CASTREJÓN R.; E. MARTÍNEZ S.; MISAEL ELORSA C.",,"checked",,,,,
"CAVALCANTI","A.C.S. CAVALCANTI; T.LAURINDO, F. CHAVES",,"checked",,,,,
"CAVALCANTI","CAVALCANTI, ACS",,"checked",,,,,
"CAVALCANTI","CAVALCANTI, ACS; LAURINDO, T; CHAVES, F",,"checked",,,,,
"CAVALCANTI","CAVALCANTI, ACS;CAVALCANTI, A.C.S.,LAURINDO, T.,CHAVES, F.",,"checked",,,,,
"CAVALHEIRO","A.L. CAVALHEIRO ET AL.",,"checked",,,,,
"CAVALHEIRO","A.L.CAVALHEIRO; ET AL.",,"checked",,,,,
"CAVALHEIRO","CAVALHEIRO, A.L.; ET AL.",,"checked",,,,,
"CAVALHEIRO","CAVALHEIRO, A.L.;ET AL.",,"checked",,,,,
"CAVALHEIRO","CAVALHEIRO, AL",,"checked",,,,,
"CAVALHEIRO","CAVALHEIRO, AL; ET AL.",,"checked",,,,,
"CAXAMBU","CAXAMBU, M.G.; ET AL.",,"checked",,,,,
"CAXAMBU","CAXAMBU, M.G.;ET AL.",,"checked",,,,,
"CAXAMBU","CAXAMBU, MG",,"checked",,,,,
"CAXAMBU","CAXAMBU, MG;CAXAMBU, M.G.",,"checked",,,,,
"CAXAMBU","M.G. CAXAMBU",,"checked",,,,,
"CERON","CARLOS E. CERÓN",,"checked","x",,,,
"CHAGAS","CHAGAS-SILVA, F.","NAO ULTIMO","checked","X",,,,
"CHAGAS","F. CHAGAS E SILVA","NAO ULTIMO","checked",,,,,
"CHAN","C. CHAN",,"checked",,,,,
"CHIANG","F. CHIANG",,"checked",,,,,
"CHIANG","F. CHIANG C.",,"checked",,,,,
"CHIANG","F. CHIANG; F. GONZÁLEZ MEDRANO; VICTOR JARAMILLO LUQUE; JOSÉ LUIS VILLASEÑOR; PATRICIA DÁVILA",,"checked",,,,,
"CHORLEY","M. CHORLEY",,"checked",,,,,
"CHORLEY","M. CHORLEY",,"checked",,,,,
"CHORLEY","MARY CHORLEY",,"checked",,,,,
"CHORLEY","MARY CHORLEY",,"checked",,,,,
"CLARK","J. L. CLARK",,"checked",,,,,
"COLLETTA","G.D. COLLETTA",,"checked",,,,,
"CORNELIUS","CORNELIUS H. MULLER",,"checked",,,,,
"CORRELL","D. S. CORRELL",,"checked",,,,,
"CORRELL","DONOVAN S. CORRELL",,"checked",,,,,
"CORY","V. L. CORY",,"checked",,,,,
"CORY","VICTOR L. CORY",,"checked","X",,,,
"COSTA","I.G. COSTA",,"checked",,,,,
"CRISTOBAL","CARMEN L. CRISTÓBAL",,"checked",,,,,
"CROAT","T. B. CROAT",,"checked",,,,,
"CROAT","THOMAS B. CROAT",,"checked","x",,,,
"CUADROS","CUADROS, HERMES",,"checked",,,,,
"CUADROS","H. CUADROS",,"checked",,,,,
"CUADROS","HERMES CUADROS","NAO ULTIMO","checked",,,,,
"CUADROS","HERMES CUADROS V.","NAO ULTIMO","checked",,,,,
"CUADROS","HERMES. CUADROS V.",,"checked",,,,,
"CUATRECASAS","CUATRECASAS J",,"checked",,,,,
"CUATRECASAS","J. CUATRECASAS",,"checked",,,,,
"CUATRECASAS","JOSÉ CUATRECASAS",,"checked",,,,,
"CURRAN","H. M. CURRAN",,"checked",,,,,
"DAMASCENO","DAMASCENO JR., G.A.","FILHO-JUNIOR","checked",,,,,
"DAMASCENO","G.A. DAMASCENO-JUNIOR; C.A. CAROLLO; P.R. SOUZA; D.T. AZEVEDO; E.M.L. ANJOS DOS SANTOS; F.J. KOCHANOVSKI; V. GOES","FILHO-JUNIOR","checked","X",,,,
"DAVIDSE","G. DAVIDSE",,"checked",,,,,
"DAVIDSE","G. DAVIDSE; M. SOUSA; JOSÉ L. LINARES",,"checked",,,,,
"DEEGEA","J. DEEGEA-JUVINEL, M. PEÑA-CHOCARRO, M. VERA","NAO ULTIMO","checked","X",,,,
"DEGEN","DEGEN, R.",,"checked",,,,,
"DEGEN","ROSA DEGEN",,"checked",,,,,
"DELGADO","A. DELGADO S.; R. HERNÁNDEZ; L. TREJO",,"checked",,,,,
"DEVIA","W. DEVIA",,"checked",,,,,
"DEVIA","WILSON DEVIA A.",,"checked",,,,,
"DIAZ","CAMILO DÍAZ S.","NAO ULTIMO","checked","X",,,,
"DIEGO","N. DIEGO",,"checked",,,,,
"DOMINGUEZ","A. DOMÍNGUEZ M.",,"checked",,,,,
"DOMINGUEZ","A. DOMÍNGUEZ M.; ET AL.",,"checked",,,,,
"DOMINGUEZ","HÉCTOR GÓMEZ DOMÍNGUEZ",,"checked",,,,,
"DOMINGUEZ","M. DOMÍNGUEZ L.",,"checked",,,,,
"DORANTES","J. DORANTES",,"checked",,,,,
"DORANTES","J. DORANTES L.",,"checked",,,,,
"DRYANDER","E. DRYANDER",,"checked",,,,,
"DUGAND","A. DUGAND",,"checked",,,,,
"DUGAND","A. DUGAND & R. JARAMILLO",,"checked",,,,,
"DUQUE","DUQUE J.",,"checked",,,,,
"DUQUE","DUQUE J., J. M.",,"checked",,,,,
"DUQUE","J.M. DUQUE-JARAMILLO","NAO ULTIMO","checked","X",,,,
"DUQUE","JESÚS MARÍA DUQUE-JARAMILLO","NAO ULTIMO","checked","X",,,,
"EGEA","DE EGEA, J.",,"checked",,,,,
"EGGERS","-. EGGERS",,"checked",,,,,
"EGGERS","EGGERS, H. F. A.",,"checked",,,,,
"EGGERS","H. EGGERS",,"checked",,,,,
"EGGERS","H. F. A. VON EGGERS",,"checked",,,,,
"EGGERS","H.F.A. VON EGGERS",,"checked",,,,,
"ELIAS","BRO. ELIAS",,"checked",,,,,
"ELORSA","M. ELORSA C.",,"checked",,,,,
"ELORSA","MISAEL ELORSA C.",,"checked",,,,,
"ESPINAL","ESPINAL T., S.","NAO ULTIMO","checked",,,,,
"ESTEVAN","ESTEVAN, D.A.",,"checked",,,,,
"ESTEVAN","ESTEVAN, DA",,"checked",,,,,
"ESTEVAN","ESTEVAN, DA; ET AL.",,"checked",,,,,
"ESTEVAN","ESTEVAN, DA; KRANZ, WM; ET AL.",,"checked",,,,,
"F H A","FHA; JAHV; HAH","ACRONIMO","checked","X",,,,
"FARNEY","C. FARNEY",,"checked",,,,,
"FARNEY","C. FARNEY; M. PEREIRA",,"checked",,,,,
"FARNEY","C. FARNEY; V.S.FONSECA,T.S.PEREIRA",,"checked",,,,,
"FARNEY","C.FARNEY",,"checked",,,,,
"FARNEY","FARNEY, C",,"checked",,,,,
"FERNANDEZ","F. JAVIER FERNÁNDEZ CASAS",,"checked",,,,,
"FERREIRA","FERREIRA, J.A.",,"checked",,,,,
"FERREIRA","FERREIRA, J.A. ET AL.",,"checked",,,,,
"FERREIRA","FERREIRA, JA",,"checked",,,,,
"FERREIRA","FERREIRA, JA; ET AL.",,"checked",,,,,
"FERREIRA","FERREIRA, JA; FRANCISCO, EM; PAVÃO, OC",,"checked",,,,,
"FERRIS","R. S. FERRIS",,"checked",,,,,
"FIEBRIG","K. FIEBRIG",,"checked",,,,,
"FIGUEIREDO","FIGUEIREDO, MA",,"checked",,,,,
