"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"CHIANG","F. CHIANG C.; A. SALINAS T.; O. R. DORADO R.",,"",,,,,
"CHIANG","F. CHIANG; A. SALINAS; O. R. DORADO R.",,"",,,,,
"CHIANG","F. CHIANG; GABRIEL FLORES FRANCO",,"",,,,,
"CHOQUE","D. CHOQUE A.;L. CAYOLA;A. T. FERNÁNDEZ C.;B. JOLY;NOEL CUEVAS;EVERT CUEVAS",,"",,,,,
"CHOQUE","D. CHOQUE A.;L. CAYOLA;A. T. FERNÁNDEZ C.;NOEL CUEVAS;EVERT CUEVAS",,"",,,,,
"CHOQUE","D. CHOQUE A.;L. CAYOLA;ERICKA LLANOS;NOEL CUEVAS;EVERT CUEVAS",,"",,,,,
"CHORLEY","CHORLEY",,"",,,,,
"CHRISTENHUSZ","M. J. M. CHRISTENHUSZ",,"",,,,,
"CHRISTENHUSZ","MAARTEN J. M. CHRISTENHUSZ;MARIA S. VORONTSOVA;JORGE JIMÉNEZ BARRIOS",,"",,,,,
"CHRISTOPHER","CHRISTOPHER SANDEMAN",,"",,,,,
"CINTORA","K. CÍNTORA R.; B. SÁNCHEZ G.",,"",,,,,
"CLARK","JOHN L. CLARK;ET AL.",,"",,,,,
"CLARKE","O.F. CLARKE; W. JONAS, K. CLARKE, C. MCNEIL, CAROL SIMON",,"",,,,,
"CLOVER","E. U. CLOVER",,"",,,,,
"COELHO","COELHO, R. L. G.",,"",,,,,
"COLLECTOR","COLLECTOR(S): ANDREW C. SANDERS",,"",,,,,
"COLLECTOR","COLLECTOR(S): ELSA ZARDINI",,"",,,,,
"COLLECTOR","COLLECTOR(S): GONZALO CASTILLO C., UNKNOWN",,"",,,,,
"COLLECTOR","COLLECTOR(S): O. F. CLARKE",,"",,,,,
"COLLECTOR","COLLECTOR(S): VIVIANA GRISELDA SOLIS NEFFA",,"",,,,,
"COLOMBIA","DOW CHEMICAL INTERNAL. DE COLOMBIA S. A.",,"",,,,,
"CORNEJO","CORNEJO & BONIFAZ",,"",,,,,
